document_number,title,type,publication_date,abstract,agency_names,agencies_full,html_url,pdf_url,public_inspection_pdf_url,source,text,has_abstract,title_length,abstract_length,agency_count,policy_stage,industry_tags,states,policy_stage_score,industry_score,text_score,geography_score,opportunity_score
2026-06168,In the Matter of Metro Cardiovascular Diagnostics Order Imposing Civil Monetary Penalty,Notice,2026-03-31,"The U.S. Nuclear Regulatory Commission (NRC) issued an Order Imposing Civil Monetary Penalty (Order) to Metro Cardiovascular Diagnostics. This Order was issued because the licensee was previously issued a Notice of Violation and Proposed Imposition of Civil Penalty (Notice) in the amount of $36,000 on July 28, 2025. The licensee failed to respond to the Notice or pay the civil penalty. Despite multiple attempts by the NRC to contact the licensee, no response was received; therefore, the NRC is imposing the civil penalty through this Order. The NRC staff has determined that the violations occurred as described in the Notice and that the $36,000 civil penalty proposed for the violations is appropriate and will be imposed. This Order is effective upon issuance.",Nuclear Regulatory Commission,"[{""raw_name"": ""NUCLEAR REGULATORY COMMISSION"", ""name"": ""Nuclear Regulatory Commission"", ""id"": 383, ""url"": ""https://www.federalregister.gov/agencies/nuclear-regulatory-commission"", ""json_url"": ""https://www.federalregister.gov/api/v1/agencies/383"", ""parent_id"": null, ""slug"": ""nuclear-regulatory-commission""}]",https://www.federalregister.gov/documents/2026/03/31/2026-06168/in-the-matter-of-metro-cardiovascular-diagnostics-order-imposing-civil-monetary-penalty,https://www.govinfo.gov/content/pkg/FR-2026-03-31/pdf/2026-06168.pdf,https://public-inspection.federalregister.gov/2026-06168.pdf?1774874714,federal_register,"In the Matter of Metro Cardiovascular Diagnostics Order Imposing Civil Monetary Penalty The U.S. Nuclear Regulatory Commission (NRC) issued an Order Imposing Civil Monetary Penalty (Order) to Metro Cardiovascular Diagnostics. This Order was issued because the licensee was previously issued a Notice of Violation and Proposed Imposition of Civil Penalty (Notice) in the amount of $36,000 on July 28, 2025. The licensee failed to respond to the Notice or pay the civil penalty. Despite multiple attempts by the NRC to contact the licensee, no response was received; therefore, the NRC is imposing the civil penalty through this Order. The NRC staff has determined that the violations occurred as described in the Notice and that the $36,000 civil penalty proposed for the violations is appropriate and will be imposed. This Order is effective upon issuance.",True,87,768,1,Notice,[],[],1,0,2,0,3
2026-06174,"NorthStar Vallecitos, LLC; Vallecitos Nuclear Center; Exemption",Notice,2026-03-31,"The U.S. Nuclear Regulatory Commission (NRC) is issuing an exemption to NorthStar Vallecitos, LLC (NSV), for Vallecitos Nuclear Center (VNC), from the requirement to investigate and report to the NRC when NSV does not receive notification of a receipt of a shipment, or part of a shipment, of low level radioactive waste within 20 days after transfer from the VNC. NSV requested that the time period for it to receive acknowledgement that the shipment has been received by the intended recipient be extended from 20 to 45 days to avoid an excessive administrative burden as operational experience indicates that shipments may take more than 20 days to reach their destination",Nuclear Regulatory Commission,"[{""raw_name"": ""NUCLEAR REGULATORY COMMISSION"", ""name"": ""Nuclear Regulatory Commission"", ""id"": 383, ""url"": ""https://www.federalregister.gov/agencies/nuclear-regulatory-commission"", ""json_url"": ""https://www.federalregister.gov/api/v1/agencies/383"", ""parent_id"": null, ""slug"": ""nuclear-regulatory-commission""}]",https://www.federalregister.gov/documents/2026/03/31/2026-06174/northstar-vallecitos-llc-vallecitos-nuclear-center-exemption,https://www.govinfo.gov/content/pkg/FR-2026-03-31/pdf/2026-06174.pdf,https://public-inspection.federalregister.gov/2026-06174.pdf?1774874714,federal_register,"NorthStar Vallecitos, LLC; Vallecitos Nuclear Center; Exemption The U.S. Nuclear Regulatory Commission (NRC) is issuing an exemption to NorthStar Vallecitos, LLC (NSV), for Vallecitos Nuclear Center (VNC), from the requirement to investigate and report to the NRC when NSV does not receive notification of a receipt of a shipment, or part of a shipment, of low level radioactive waste within 20 days after transfer from the VNC. NSV requested that the time period for it to receive acknowledgement that the shipment has been received by the intended recipient be extended from 20 to 45 days to avoid an excessive administrative burden as operational experience indicates that shipments may take more than 20 days to reach their destination",True,63,675,1,Notice,[],[],1,0,2,0,3
2026-06202,Commission Information Collection Activities (FERC-1005); Comment Request; Extension,Notice,2026-03-31,"In compliance with the requirements of the Paperwork Reduction Act of 1995, 44 U.S.C. 3506(c)(2)(A), the Federal Energy Regulatory Commission (Commission or FERC) is soliciting public comment on the currently approved information collection, FERC-1005: Credit Related Information Sharing Between RTOs/ISOs. There are no proposed changes to the information sharing requirement, but the Commission is removing a one-time information collection that has been completed.","Energy Department, Federal Energy Regulatory Commission","[{""raw_name"": ""DEPARTMENT OF ENERGY"", ""name"": ""Energy Department"", ""id"": 136, ""url"": ""https://www.federalregister.gov/agencies/energy-department"", ""json_url"": ""https://www.federalregister.gov/api/v1/agencies/136"", ""parent_id"": null, ""slug"": ""energy-department""}, {""raw_name"": ""Federal Energy Regulatory Commission"", ""name"": ""Federal Energy Regulatory Commission"", ""id"": 167, ""url"": ""https://www.federalregister.gov/agencies/federal-energy-regulatory-commission"", ""json_url"": ""https://www.federalregister.gov/api/v1/agencies/167"", ""parent_id"": 136, ""slug"": ""federal-energy-regulatory-commission""}]",https://www.federalregister.gov/documents/2026/03/31/2026-06202/commission-information-collection-activities-ferc-1005-comment-request-extension,https://www.govinfo.gov/content/pkg/FR-2026-03-31/pdf/2026-06202.pdf,https://public-inspection.federalregister.gov/2026-06202.pdf?1774874717,federal_register,"Commission Information Collection Activities (FERC-1005); Comment Request; Extension In compliance with the requirements of the Paperwork Reduction Act of 1995, 44 U.S.C. 3506(c)(2)(A), the Federal Energy Regulatory Commission (Commission or FERC) is soliciting public comment on the currently approved information collection, FERC-1005: Credit Related Information Sharing Between RTOs/ISOs. There are no proposed changes to the information sharing requirement, but the Commission is removing a one-time information collection that has been completed.",True,84,466,2,Notice,"['energy', 'housing']",[],1,5,1,0,7
2026-06224,Information Collection Being Reviewed by the Federal Communications Commission,Notice,2026-03-31,"As part of its continuing effort to reduce paperwork burdens, and as required by the Paperwork Reduction Act (PRA), the Federal Communications Commission (FCC or Commission) invites the general public and other Federal agencies to take this opportunity to comment on the following information collections. Comments are requested concerning: whether the proposed collection of information is necessary for the proper performance of the functions of the Commission, including whether the information shall have practical utility; the accuracy of the Commission's burden estimate; ways to enhance the quality, utility, and clarity of the information collected; ways to minimize the burden of the collection of information on the respondents, including the use of automated collection techniques or other forms of information technology; and ways to further reduce the information collection burden on small business concerns with fewer than 25 employees.",Federal Communications Commission,"[{""raw_name"": ""FEDERAL COMMUNICATIONS COMMISSION"", ""name"": ""Federal Communications Commission"", ""id"": 161, ""url"": ""https://www.federalregister.gov/agencies/federal-communications-commission"", ""json_url"": ""https://www.federalregister.gov/api/v1/agencies/161"", ""parent_id"": null, ""slug"": ""federal-communications-commission""}]",https://www.federalregister.gov/documents/2026/03/31/2026-06224/information-collection-being-reviewed-by-the-federal-communications-commission,https://www.govinfo.gov/content/pkg/FR-2026-03-31/pdf/2026-06224.pdf,https://public-inspection.federalregister.gov/2026-06224.pdf?1774874719,federal_register,"Information Collection Being Reviewed by the Federal Communications Commission As part of its continuing effort to reduce paperwork burdens, and as required by the Paperwork Reduction Act (PRA), the Federal Communications Commission (FCC or Commission) invites the general public and other Federal agencies to take this opportunity to comment on the following information collections. Comments are requested concerning: whether the proposed collection of information is necessary for the proper performance of the functions of the Commission, including whether the information shall have practical utility; the accuracy of the Commission's burden estimate; ways to enhance the quality, utility, and clarity of the information collected; ways to minimize the burden of the collection of information on the respondents, including the use of automated collection techniques or other forms of information technology; and ways to further reduce the information collection burden on small business concerns with fewer than 25 employees.",True,78,951,1,Notice,[],[],1,0,2,0,3
2026-06138,"International Isotopes, Inc.; Green Salt Products, LLC; Direct License Transfer Application",Notice,2026-03-31,"The U.S. Nuclear Regulatory Commission (NRC) has granted a request by International Isotopes Inc., on behalf of International Isotopes Fluorine Products and Green Salt Products, LLC, to withdraw its request for NRC consent to the direct transfer of control of source material license number 1011 (SUB-1011). The application concerned a proposed depleted uranium deconversion and fluorine processing venture for a site near Hobbs/Lea County, New Mexico.",Nuclear Regulatory Commission,"[{""raw_name"": ""NUCLEAR REGULATORY COMMISSION"", ""name"": ""Nuclear Regulatory Commission"", ""id"": 383, ""url"": ""https://www.federalregister.gov/agencies/nuclear-regulatory-commission"", ""json_url"": ""https://www.federalregister.gov/api/v1/agencies/383"", ""parent_id"": null, ""slug"": ""nuclear-regulatory-commission""}]",https://www.federalregister.gov/documents/2026/03/31/2026-06138/international-isotopes-inc-green-salt-products-llc-direct-license-transfer-application,https://www.govinfo.gov/content/pkg/FR-2026-03-31/pdf/2026-06138.pdf,https://public-inspection.federalregister.gov/2026-06138.pdf?1774874709,federal_register,"International Isotopes, Inc.; Green Salt Products, LLC; Direct License Transfer Application The U.S. Nuclear Regulatory Commission (NRC) has granted a request by International Isotopes Inc., on behalf of International Isotopes Fluorine Products and Green Salt Products, LLC, to withdraw its request for NRC consent to the direct transfer of control of source material license number 1011 (SUB-1011). The application concerned a proposed depleted uranium deconversion and fluorine processing venture for a site near Hobbs/Lea County, New Mexico.",True,91,452,1,Notice,[],[],1,0,1,0,2
2026-06135,Agency Information Collection Activities; Submission to the Office of Management and Budget for Review and Approval; Comment Request; Disability Accommodations Reimbursement Request Form,Notice,2026-03-31,"The Corporation for National and Community Service, operating as AmeriCorps, has submitted a public information collection request (ICR) entitled Disability Accommodations Reimbursement Request Form for review and approval in accordance with the Paperwork Reduction Act.",Corporation for National and Community Service,"[{""raw_name"": ""CORPORATION FOR NATIONAL AND COMMUNITY SERVICE"", ""name"": ""Corporation for National and Community Service"", ""id"": 91, ""url"": ""https://www.federalregister.gov/agencies/corporation-for-national-and-community-service"", ""json_url"": ""https://www.federalregister.gov/api/v1/agencies/91"", ""parent_id"": null, ""slug"": ""corporation-for-national-and-community-service""}]",https://www.federalregister.gov/documents/2026/03/31/2026-06135/agency-information-collection-activities-submission-to-the-office-of-management-and-budget-for,https://www.govinfo.gov/content/pkg/FR-2026-03-31/pdf/2026-06135.pdf,https://public-inspection.federalregister.gov/2026-06135.pdf?1774874708,federal_register,"Agency Information Collection Activities; Submission to the Office of Management and Budget for Review and Approval; Comment Request; Disability Accommodations Reimbursement Request Form The Corporation for National and Community Service, operating as AmeriCorps, has submitted a public information collection request (ICR) entitled Disability Accommodations Reimbursement Request Form for review and approval in accordance with the Paperwork Reduction Act.",True,186,270,1,Notice,[],[],1,0,1,0,2
2026-06144,Submission for OMB Review; Comment Request,Notice,2026-03-31,,Agriculture Department,"[{""raw_name"": ""DEPARTMENT OF AGRICULTURE"", ""name"": ""Agriculture Department"", ""id"": 12, ""url"": ""https://www.federalregister.gov/agencies/agriculture-department"", ""json_url"": ""https://www.federalregister.gov/api/v1/agencies/12"", ""parent_id"": null, ""slug"": ""agriculture-department""}]",https://www.federalregister.gov/documents/2026/03/31/2026-06144/submission-for-omb-review-comment-request,https://www.govinfo.gov/content/pkg/FR-2026-03-31/pdf/2026-06144.pdf,https://public-inspection.federalregister.gov/2026-06144.pdf?1774874710,federal_register,Submission for OMB Review; Comment Request ,False,42,0,1,Notice,[],[],1,0,0,0,1
2026-06213,Submission for OMB Review; Comment Request,Notice,2026-03-31,The DoD has submitted to OMB for clearance the following proposal for collection of information under the provisions of the Paperwork Reduction Act.,"Defense Department, ","[{""raw_name"": ""DEPARTMENT OF DEFENSE"", ""name"": ""Defense Department"", ""id"": 103, ""url"": ""https://www.federalregister.gov/agencies/defense-department"", ""json_url"": ""https://www.federalregister.gov/api/v1/agencies/103"", ""parent_id"": null, ""slug"": ""defense-department""}, {""raw_name"": ""Office of the Secretary""}]",https://www.federalregister.gov/documents/2026/03/31/2026-06213/submission-for-omb-review-comment-request,https://www.govinfo.gov/content/pkg/FR-2026-03-31/pdf/2026-06213.pdf,https://public-inspection.federalregister.gov/2026-06213.pdf?1774874718,federal_register,Submission for OMB Review; Comment Request The DoD has submitted to OMB for clearance the following proposal for collection of information under the provisions of the Paperwork Reduction Act.,True,42,148,1,Notice,[],[],1,0,0,0,1
2026-06171,Sunshine Act Meetings,Notice,2026-03-31,,National Science Foundation,"[{""raw_name"": ""NATIONAL SCIENCE FOUNDATION"", ""name"": ""National Science Foundation"", ""id"": 366, ""url"": ""https://www.federalregister.gov/agencies/national-science-foundation"", ""json_url"": ""https://www.federalregister.gov/api/v1/agencies/366"", ""parent_id"": null, ""slug"": ""national-science-foundation""}]",https://www.federalregister.gov/documents/2026/03/31/2026-06171/sunshine-act-meetings,https://www.govinfo.gov/content/pkg/FR-2026-03-31/pdf/2026-06171.pdf,https://public-inspection.federalregister.gov/2026-06171.pdf?1774624515,federal_register,Sunshine Act Meetings ,False,21,0,1,Notice,[],[],1,0,0,0,1
2026-06195,Implementing the Freedom of Information Act and Privacy Act,Proposed Rule,2026-03-31,The Office of the National Cyber Director (ONCD) is issuing its first Freedom of Information Act (FOIA) and Privacy Act regulations. These regulations reflect ONCD's process for responding to requests for information and affirm its commitment to provide the fullest possible disclosure of records to the public.,Office of the National Cyber Director,"[{""raw_name"": ""Office of the National Cyber Director"", ""name"": ""Office of the National Cyber Director"", ""id"": 613, ""url"": ""https://www.federalregister.gov/agencies/office-of-the-national-cyber-director"", ""json_url"": ""https://www.federalregister.gov/api/v1/agencies/613"", ""parent_id"": 538, ""slug"": ""office-of-the-national-cyber-director""}]",https://www.federalregister.gov/documents/2026/03/31/2026-06195/implementing-the-freedom-of-information-act-and-privacy-act,https://www.govinfo.gov/content/pkg/FR-2026-03-31/pdf/2026-06195.pdf,https://public-inspection.federalregister.gov/2026-06195.pdf?1774874716,federal_register,Implementing the Freedom of Information Act and Privacy Act The Office of the National Cyber Director (ONCD) is issuing its first Freedom of Information Act (FOIA) and Privacy Act regulations. These regulations reflect ONCD's process for responding to requests for information and affirm its commitment to provide the fullest possible disclosure of records to the public.,True,59,311,1,Proposed Rule,[],[],2,0,1,0,3
